Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.636404	3.636404	0.000000	4.753876	0.940000	2.891548	28.300000	
2.846061	2.846061	0.000000	4.753876	0.940000	2.709061	31.300000	
2.626146	2.626146	0.000000	4.753876	0.940000	2.651310	32.350000	
2.478908	2.478908	0.000000	4.753876	0.940000	2.595798	33.400000	
2.360848	2.360848	0.000000	4.753876	0.940000	2.560972	35.050000	
2.286329	2.286329	0.000000	4.753876	0.940000	2.554883	33.650000	
2.193595	2.193595	0.000000	4.753876	0.940000	2.533430	34.550000	
2.135969	2.135969	0.000000	4.753876	0.940000	2.523549	35.350000	
2.064651	2.064651	0.000000	4.753876	0.940000	2.502094	35.750000	
2.020873	2.020873	0.000000	4.753876	0.940000	2.492185	36.500000	
1.963859	1.963859	0.000000	4.753876	0.940000	2.509059	35.600000	
1.912256	1.912256	0.000000	4.753876	0.940000	2.488197	37.300000	
1.865821	1.865821	0.000000	4.753876	0.940000	2.500845	36.150000	
1.823310	1.823310	0.000000	4.753876	0.940000	2.487699	36.300000	
1.807791	1.807791	0.000000	4.753876	0.940000	2.476905	36.350000	
1.766463	1.766463	0.000000	4.753876	0.940000	2.484208	36.550000	
1.713413	1.713413	0.000000	4.753876	0.940000	2.479800	36.450000	
1.695182	1.695182	0.000000	4.753876	0.940000	2.485146	36.500000	
1.658753	1.658753	0.000000	4.753876	0.940000	2.491908	36.850000	
1.614804	1.614804	0.000000	4.753876	0.940000	2.496910	36.550000	
1.588085	1.588085	0.000000	4.753876	0.940000	2.495467	36.450000	
1.583108	1.583108	0.000000	4.753876	0.940000	2.498917	36.250000	
1.558725	1.558725	0.000000	4.753876	0.940000	2.510469	36.700000	
1.548934	1.548934	0.000000	4.753876	0.940000	2.495683	37.800000	
1.518872	1.518872	0.000000	4.753876	0.940000	2.499507	37.900000	
1.503590	1.503590	0.000000	4.753876	0.940000	2.500633	37.300000	
1.478756	1.478756	0.000000	4.753876	0.940000	2.499048	37.650000	
1.450005	1.450005	0.000000	4.753876	0.940000	2.494388	37.650000	
1.441191	1.441191	0.000000	4.753876	0.940000	2.497894	37.100000	
1.412706	1.412706	0.000000	4.753876	0.940000	2.503982	37.450000	
1.407797	1.407797	0.000000	4.753876	0.940000	2.502664	37.300000	
1.407736	1.407736	0.000000	4.753876	0.940000	2.503944	37.800000	
1.364542	1.364542	0.000000	4.753876	0.940000	2.516492	37.550000	
1.373879	1.373879	0.000000	4.753876	0.940000	2.515553	37.100000	
1.363190	1.363190	0.000000	4.753876	0.940000	2.515292	37.000000	
1.340161	1.340161	0.000000	4.753876	0.940000	2.513129	37.550000	
1.340527	1.340527	0.000000	4.753876	0.940000	2.511846	37.300000	
1.330703	1.330703	0.000000	4.753876	0.940000	2.513240	36.850000	
1.333109	1.333109	0.000000	4.753876	0.940000	2.512447	37.050000	
1.321112	1.321112	0.000000	4.753876	0.940000	2.511907	37.250000	
1.328527	1.328527	0.000000	4.753876	0.940000	2.510846	37.250000	
1.306369	1.306369	0.000000	4.753876	0.940000	2.513383	37.200000	
1.317135	1.317135	0.000000	4.753876	0.940000	2.513056	37.100000	
1.300620	1.300620	0.000000	4.753876	0.940000	2.513966	37.250000	
1.283808	1.283808	0.000000	4.753876	0.940000	2.513945	37.200000	
1.279993	1.279993	0.000000	4.753876	0.940000	2.514038	37.350000	
1.296238	1.296238	0.000000	4.753876	0.940000	2.514163	37.400000	
1.301135	1.301135	0.000000	4.753876	0.940000	2.514280	37.350000	
1.313513	1.313513	0.000000	4.753876	0.940000	2.514175	37.300000	
1.291604	1.291604	0.000000	4.753876	0.940000	2.514213	37.300000	
