Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
4.549734	4.549734	0.000000	0.000000	0.000000	4.310962	3.800000	
4.329350	4.329350	0.000000	0.000000	0.000000	4.236798	3.700000	
4.204472	4.204472	0.000000	0.000000	0.000000	4.100804	4.400000	
4.161991	4.161991	0.000000	0.000000	0.000000	4.030259	3.900000	
4.104549	4.104549	0.000000	0.000000	0.000000	4.090367	4.050000	
4.028148	4.028148	0.000000	0.000000	0.000000	3.917148	5.300000	
4.002647	4.002647	0.000000	0.000000	0.000000	3.961032	5.250000	
3.924901	3.924901	0.000000	0.000000	0.000000	3.924903	5.200000	
3.934341	3.934341	0.000000	0.000000	0.000000	4.086273	5.400000	
3.867694	3.867694	0.000000	0.000000	0.000000	3.772579	7.800000	
3.870501	3.870501	0.000000	0.000000	0.000000	3.767318	7.500000	
3.868291	3.868291	0.000000	0.000000	0.000000	3.950960	5.950000	
3.872295	3.872295	0.000000	0.000000	0.000000	3.815848	7.850000	
3.757243	3.757243	0.000000	0.000000	0.000000	3.941640	8.200000	
3.693716	3.693716	0.000000	0.000000	0.000000	3.615185	10.250000	
3.618691	3.618691	0.000000	0.000000	0.000000	3.642383	9.800000	
3.603321	3.603321	0.000000	0.000000	0.000000	3.636859	9.700000	
3.585649	3.585649	0.000000	0.000000	0.000000	3.596070	10.850000	
3.500481	3.500481	0.000000	0.000000	0.000000	3.360361	12.500000	
3.400559	3.400559	0.000000	0.000000	0.000000	3.416638	13.150000	
3.312730	3.312730	0.000000	0.000000	0.000000	3.290953	13.700000	
3.261170	3.261170	0.000000	0.000000	0.000000	3.421844	14.250000	
3.262227	3.262227	0.000000	0.000000	0.000000	3.247628	16.000000	
3.142970	3.142970	0.000000	0.000000	0.000000	3.227486	16.750000	
3.081814	3.081814	0.000000	0.000000	0.000000	3.137251	17.700000	
3.044192	3.044192	0.000000	0.000000	0.000000	3.387084	15.250000	
2.990431	2.990431	0.000000	0.000000	0.000000	3.139359	20.100000	
2.893958	2.893958	0.000000	0.000000	0.000000	2.989872	21.650000	
2.796095	2.796095	0.000000	0.000000	0.000000	2.961858	22.900000	
2.720493	2.720493	0.000000	0.000000	0.000000	2.874823	24.850000	
2.655935	2.655935	0.000000	0.000000	0.000000	2.905303	23.900000	
2.522779	2.522779	0.000000	0.000000	0.000000	2.744635	26.450000	
2.455393	2.455393	0.000000	0.000000	0.000000	2.714103	27.250000	
2.330423	2.330423	0.000000	0.000000	0.000000	2.677742	28.100000	
2.274277	2.274277	0.000000	0.000000	0.000000	2.624651	29.650000	
2.185575	2.185575	0.000000	0.000000	0.000000	2.595992	31.000000	
2.076274	2.076274	0.000000	0.000000	0.000000	2.589049	32.450000	
1.997320	1.997320	0.000000	0.000000	0.000000	2.529831	33.500000	
1.893431	1.893431	0.000000	0.000000	0.000000	2.580588	33.250000	
1.794575	1.794575	0.000000	0.000000	0.000000	2.560036	33.000000	
1.706184	1.706184	0.000000	0.000000	0.000000	2.467065	36.200000	
1.616680	1.616680	0.000000	0.000000	0.000000	2.531248	36.000000	
1.553816	1.553816	0.000000	0.000000	0.000000	2.472120	37.750000	
1.470766	1.470766	0.000000	0.000000	0.000000	2.489032	38.700000	
1.431020	1.431020	0.000000	0.000000	0.000000	2.504451	38.000000	
1.352488	1.352488	0.000000	0.000000	0.000000	2.496426	38.900000	
1.321056	1.321056	0.000000	0.000000	0.000000	2.541270	39.200000	
1.288245	1.288245	0.000000	0.000000	0.000000	2.542570	39.250000	
1.265338	1.265338	0.000000	0.000000	0.000000	2.545150	39.850000	
1.259009	1.259009	0.000000	0.000000	0.000000	2.539358	39.250000	
