Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
2.265908	2.265908	0.000000	3.583637	15.620000	3.571521	15.830000	
1.994847	1.994847	0.000000	1.917475	29.520000	1.905136	30.210000	
1.756989	1.756989	0.000000	1.537150	46.920000	1.561149	44.450000	
1.605086	1.605086	0.000000	1.395615	51.080000	1.416084	51.100000	
1.443104	1.443104	0.000000	1.314036	53.880000	1.340028	53.120000	
1.300794	1.300794	0.000000	1.227412	57.100000	1.232248	56.320000	
1.209287	1.209287	0.000000	1.142092	61.280000	1.169208	59.980000	
1.116814	1.116814	0.000000	1.065327	63.260000	1.081637	62.730000	
1.029677	1.029677	0.000000	1.030494	64.380000	1.044604	63.700000	
0.957479	0.957479	0.000000	0.961585	66.740000	0.960860	66.780000	
0.879677	0.879677	0.000000	0.922746	68.540000	0.935633	67.950000	
0.855680	0.855680	0.000000	0.912875	68.680000	0.918961	68.650000	
0.763600	0.763600	0.000000	0.889786	69.860000	0.892014	69.710000	
0.742694	0.742694	0.000000	0.884248	70.280000	0.884016	70.220000	
0.653714	0.653714	0.000000	0.861605	70.680000	0.866477	70.820000	
0.624570	0.624570	0.000000	0.863223	71.440000	0.852043	71.540000	
0.629951	0.629951	0.000000	0.862114	71.160000	0.862706	71.500000	
0.554584	0.554584	0.000000	0.865444	71.080000	0.874114	71.300000	
0.516133	0.516133	0.000000	0.878582	71.780000	0.875487	71.500000	
0.515585	0.515585	0.000000	0.846329	72.500000	0.832487	72.600000	
0.462876	0.462876	0.000000	0.866861	72.920000	0.847637	72.960000	
0.420950	0.420950	0.000000	0.880655	72.380000	0.865985	72.950000	
0.416204	0.416204	0.000000	0.857404	73.340000	0.843528	73.430000	
0.359903	0.359903	0.000000	0.884527	73.680000	0.867162	73.430000	
0.366249	0.366249	0.000000	0.868143	74.320000	0.862804	74.310000	
0.354544	0.354544	0.000000	0.862063	73.840000	0.846549	74.270000	
0.328411	0.328411	0.000000	0.866576	73.820000	0.849936	74.530000	
0.324411	0.324411	0.000000	0.883570	73.480000	0.864173	74.070000	
0.292617	0.292617	0.000000	0.871211	74.340000	0.861603	74.510000	
0.289592	0.289592	0.000000	0.883507	73.040000	0.865715	74.460000	
0.263943	0.263943	0.000000	0.882902	74.000000	0.864539	75.030000	
0.254424	0.254424	0.000000	0.865130	74.800000	0.852116	75.440000	
0.229642	0.229642	0.000000	0.884265	74.980000	0.876061	74.880000	
0.217713	0.217713	0.000000	0.878378	74.740000	0.867464	75.140000	
0.216026	0.216026	0.000000	0.882592	74.860000	0.864071	75.270000	
0.217912	0.217912	0.000000	0.888460	74.500000	0.870020	75.310000	
0.201057	0.201057	0.000000	0.892384	74.800000	0.870862	75.350000	
0.196749	0.196749	0.000000	0.890515	75.300000	0.870159	75.480000	
0.176956	0.176956	0.000000	0.896892	75.220000	0.877646	75.620000	
0.170743	0.170743	0.000000	0.897802	75.180000	0.882977	75.670000	
0.171566	0.171566	0.000000	0.896421	74.940000	0.883230	75.410000	
0.178073	0.178073	0.000000	0.898505	75.160000	0.878837	75.820000	
0.162447	0.162447	0.000000	0.900622	74.980000	0.880035	75.840000	
0.154600	0.154600	0.000000	0.903118	75.100000	0.883080	75.750000	
0.170071	0.170071	0.000000	0.906532	75.240000	0.884475	75.830000	
0.164678	0.164678	0.000000	0.906808	75.060000	0.886632	75.910000	
0.149762	0.149762	0.000000	0.905185	75.120000	0.884689	75.760000	
0.157320	0.157320	0.000000	0.905974	75.180000	0.884617	75.730000	
0.153510	0.153510	0.000000	0.909983	75.380000	0.888600	75.790000	
0.160657	0.160657	0.000000	0.904957	75.400000	0.884737	75.880000	
