Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.504947	3.504947	0.000000	0.000000	0.000000	2.839802	27.000000	
2.835754	2.835754	0.000000	0.000000	0.000000	2.733098	29.150000	
2.508429	2.508429	0.000000	0.000000	0.000000	2.395447	37.750000	
2.292607	2.292607	0.000000	0.000000	0.000000	2.436353	37.050000	
2.148069	2.148069	0.000000	0.000000	0.000000	2.333374	39.550000	
1.998534	1.998534	0.000000	0.000000	0.000000	2.127956	43.750000	
1.897446	1.897446	0.000000	0.000000	0.000000	2.267640	41.600000	
1.781050	1.781050	0.000000	0.000000	0.000000	2.141008	44.500000	
1.682316	1.682316	0.000000	0.000000	0.000000	2.254686	43.450000	
1.603788	1.603788	0.000000	0.000000	0.000000	2.204259	43.850000	
1.499469	1.499469	0.000000	0.000000	0.000000	2.122721	46.250000	
1.380901	1.380901	0.000000	0.000000	0.000000	2.090916	47.250000	
1.306191	1.306191	0.000000	0.000000	0.000000	2.102854	47.000000	
1.228912	1.228912	0.000000	0.000000	0.000000	2.158616	47.650000	
1.122053	1.122053	0.000000	0.000000	0.000000	2.018613	49.400000	
1.091953	1.091953	0.000000	0.000000	0.000000	2.062782	49.250000	
0.994476	0.994476	0.000000	0.000000	0.000000	2.074245	50.650000	
0.914936	0.914936	0.000000	0.000000	0.000000	2.122603	50.200000	
0.827132	0.827132	0.000000	0.000000	0.000000	1.988159	51.250000	
0.782099	0.782099	0.000000	0.000000	0.000000	2.010518	52.100000	
0.733007	0.733007	0.000000	0.000000	0.000000	2.120860	51.550000	
0.641689	0.641689	0.000000	0.000000	0.000000	2.134180	51.500000	
0.579705	0.579705	0.000000	0.000000	0.000000	2.084138	53.500000	
0.514503	0.514503	0.000000	0.000000	0.000000	2.213403	52.100000	
0.451025	0.451025	0.000000	0.000000	0.000000	2.185164	53.800000	
0.406272	0.406272	0.000000	0.000000	0.000000	2.186834	53.200000	
0.376405	0.376405	0.000000	0.000000	0.000000	2.219969	53.750000	
0.323063	0.323063	0.000000	0.000000	0.000000	2.271092	52.300000	
0.264750	0.264750	0.000000	0.000000	0.000000	2.255084	54.450000	
0.221076	0.221076	0.000000	0.000000	0.000000	2.290544	55.700000	
0.195492	0.195492	0.000000	0.000000	0.000000	2.351832	56.050000	
0.154271	0.154271	0.000000	0.000000	0.000000	2.408214	55.750000	
0.129318	0.129318	0.000000	0.000000	0.000000	2.483319	56.150000	
0.104199	0.104199	0.000000	0.000000	0.000000	2.543141	57.000000	
0.084438	0.084438	0.000000	0.000000	0.000000	2.539825	56.850000	
0.080279	0.080279	0.000000	0.000000	0.000000	2.563718	57.150000	
0.063665	0.063665	0.000000	0.000000	0.000000	2.597608	57.150000	
0.053706	0.053706	0.000000	0.000000	0.000000	2.633120	57.950000	
0.042674	0.042674	0.000000	0.000000	0.000000	2.703139	56.900000	
0.038252	0.038252	0.000000	0.000000	0.000000	2.670673	57.900000	
0.032191	0.032191	0.000000	0.000000	0.000000	2.695208	58.300000	
0.026608	0.026608	0.000000	0.000000	0.000000	2.730072	57.800000	
0.025036	0.025036	0.000000	0.000000	0.000000	2.734312	57.750000	
0.024256	0.024256	0.000000	0.000000	0.000000	2.734476	57.550000	
0.023756	0.023756	0.000000	0.000000	0.000000	2.749375	57.700000	
0.024040	0.024040	0.000000	0.000000	0.000000	2.738216	58.550000	
0.020453	0.020453	0.000000	0.000000	0.000000	2.741887	58.050000	
0.020996	0.020996	0.000000	0.000000	0.000000	2.745424	58.300000	
0.019196	0.019196	0.000000	0.000000	0.000000	2.743962	58.400000	
0.018681	0.018681	0.000000	0.000000	0.000000	2.743926	58.400000	
