Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
2.032334	2.029875	0.011741	2.293352	17.260000	2.293199	17.040000	
1.867272	1.859365	0.013231	2.088661	47.240000	2.088350	46.590000	
1.779807	1.766357	0.013412	1.802289	57.820000	1.801243	56.720000	
1.758342	1.739340	0.013580	1.665401	59.320000	1.666818	59.310000	
1.745006	1.720727	0.013500	1.569701	63.780000	1.577731	62.240000	
1.700806	1.670758	0.013655	1.484179	65.380000	1.492482	64.260000	
1.701303	1.666670	0.013318	1.602559	54.640000	1.605734	53.610000	
1.623407	1.583434	0.013326	1.476910	61.800000	1.486495	60.740000	
