Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.063610	3.063610	0.000000	4.753876	0.940000	2.532501	34.100000	
2.593650	2.593650	0.000000	4.753876	0.940000	2.403380	37.800000	
2.455275	2.455275	0.000000	4.753876	0.940000	2.315163	39.450000	
2.357525	2.357525	0.000000	4.753876	0.940000	2.281175	39.850000	
2.284165	2.284165	0.000000	4.753876	0.940000	2.257810	40.750000	
2.230101	2.230101	0.000000	4.753876	0.940000	2.220818	41.250000	
2.177177	2.177177	0.000000	4.753876	0.940000	2.208211	41.100000	
2.134186	2.134186	0.000000	4.753876	0.940000	2.198470	41.400000	
2.099573	2.099573	0.000000	4.753876	0.940000	2.166840	42.950000	
2.062851	2.062851	0.000000	4.753876	0.940000	2.159839	42.750000	
2.025840	2.025840	0.000000	4.753876	0.940000	2.144419	43.400000	
1.999088	1.999088	0.000000	4.753876	0.940000	2.142043	43.900000	
1.965615	1.965615	0.000000	4.753876	0.940000	2.140465	43.500000	
1.945097	1.945097	0.000000	4.753876	0.940000	2.128431	43.800000	
1.924408	1.924408	0.000000	4.753876	0.940000	2.130303	43.650000	
1.893135	1.893135	0.000000	4.753876	0.940000	2.124220	44.000000	
1.873865	1.873865	0.000000	4.753876	0.940000	2.096682	43.900000	
1.852201	1.852201	0.000000	4.753876	0.940000	2.106946	44.500000	
1.819223	1.819223	0.000000	4.753876	0.940000	2.099230	44.000000	
1.812420	1.812420	0.000000	4.753876	0.940000	2.098009	44.400000	
1.780968	1.780968	0.000000	4.753876	0.940000	2.098359	44.350000	
1.771962	1.771962	0.000000	4.753876	0.940000	2.089017	44.600000	
1.760388	1.760388	0.000000	4.753876	0.940000	2.083138	45.050000	
1.750585	1.750585	0.000000	4.753876	0.940000	2.085705	44.100000	
1.714447	1.714447	0.000000	4.753876	0.940000	2.082812	44.950000	
1.707177	1.707177	0.000000	4.753876	0.940000	2.071082	45.200000	
1.694940	1.694940	0.000000	4.753876	0.940000	2.069339	44.750000	
1.682413	1.682413	0.000000	4.753876	0.940000	2.068855	45.000000	
1.677454	1.677454	0.000000	4.753876	0.940000	2.070090	45.200000	
1.655359	1.655359	0.000000	4.753876	0.940000	2.066892	44.800000	
1.642709	1.642709	0.000000	4.753876	0.940000	2.064514	45.150000	
1.636238	1.636238	0.000000	4.753876	0.940000	2.067989	45.750000	
1.631159	1.631159	0.000000	4.753876	0.940000	2.060726	45.850000	
1.610225	1.610225	0.000000	4.753876	0.940000	2.062885	45.100000	
1.607467	1.607467	0.000000	4.753876	0.940000	2.064385	45.100000	
1.604870	1.604870	0.000000	4.753876	0.940000	2.058407	45.350000	
1.596516	1.596516	0.000000	4.753876	0.940000	2.055108	45.650000	
1.590867	1.590867	0.000000	4.753876	0.940000	2.055947	45.650000	
1.577326	1.577326	0.000000	4.753876	0.940000	2.058155	45.750000	
1.577394	1.577394	0.000000	4.753876	0.940000	2.058404	45.850000	
1.570215	1.570215	0.000000	4.753876	0.940000	2.058300	45.600000	
1.573282	1.573282	0.000000	4.753876	0.940000	2.057616	45.900000	
1.556237	1.556237	0.000000	4.753876	0.940000	2.057642	45.700000	
1.564288	1.564288	0.000000	4.753876	0.940000	2.057819	45.800000	
1.556325	1.556325	0.000000	4.753876	0.940000	2.058224	45.900000	
1.561817	1.561817	0.000000	4.753876	0.940000	2.058502	45.850000	
1.559589	1.559589	0.000000	4.753876	0.940000	2.058100	45.700000	
1.559143	1.559143	0.000000	4.753876	0.940000	2.057923	45.800000	
1.559283	1.559283	0.000000	4.753876	0.940000	2.057935	45.850000	
1.563217	1.563217	0.000000	4.753876	0.940000	2.057931	45.850000	
