Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
1.909557	1.906629	0.014151	2.385266	10.000000	2.385482	10.000000	
1.613788	1.603829	0.016542	1.663680	62.200000	1.668763	60.970000	
1.457123	1.439711	0.017395	1.382175	64.780000	1.394183	63.540000	
1.422098	1.397352	0.017682	1.284941	66.180000	1.299918	65.100000	
1.435848	1.404406	0.017526	1.436378	62.960000	1.455956	61.250000	
1.451344	1.413846	0.017002	1.490989	57.940000	1.505918	57.430000	
1.252698	1.207877	0.017241	1.315732	64.020000	1.328062	63.800000	
1.182214	1.132319	0.016636	1.197038	67.740000	1.214780	66.580000	
