Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.932660	3.932660	0.000000	0.000000	0.000000	3.556603	14.600000	
3.412407	3.412407	0.000000	0.000000	0.000000	3.225179	19.800000	
3.195798	3.195798	0.000000	0.000000	0.000000	3.204179	21.800000	
3.013618	3.013618	0.000000	0.000000	0.000000	2.929484	25.700000	
2.843529	2.843529	0.000000	0.000000	0.000000	3.106165	23.600000	
2.755529	2.755529	0.000000	0.000000	0.000000	2.753483	30.850000	
2.630017	2.630017	0.000000	0.000000	0.000000	2.853014	29.950000	
2.595889	2.595889	0.000000	0.000000	0.000000	2.657616	32.600000	
2.443153	2.443153	0.000000	0.000000	0.000000	2.567447	33.700000	
2.312906	2.312906	0.000000	0.000000	0.000000	2.549638	35.650000	
2.322595	2.322595	0.000000	0.000000	0.000000	2.487678	39.400000	
2.167409	2.167409	0.000000	0.000000	0.000000	2.415982	39.200000	
2.099048	2.099048	0.000000	0.000000	0.000000	2.480468	37.300000	
2.053898	2.053898	0.000000	0.000000	0.000000	2.460141	38.900000	
1.970057	1.970057	0.000000	0.000000	0.000000	2.363909	41.800000	
1.849330	1.849330	0.000000	0.000000	0.000000	2.469258	39.750000	
1.827262	1.827262	0.000000	0.000000	0.000000	2.460405	38.100000	
1.705864	1.705864	0.000000	0.000000	0.000000	2.299321	43.150000	
1.637802	1.637802	0.000000	0.000000	0.000000	2.278677	43.450000	
1.583936	1.583936	0.000000	0.000000	0.000000	2.305713	42.600000	
1.478269	1.478269	0.000000	0.000000	0.000000	2.216327	45.450000	
1.374789	1.374789	0.000000	0.000000	0.000000	2.164465	47.100000	
1.253401	1.253401	0.000000	0.000000	0.000000	2.267823	45.350000	
1.183746	1.183746	0.000000	0.000000	0.000000	2.132848	47.750000	
1.128388	1.128388	0.000000	0.000000	0.000000	2.140725	48.200000	
1.049994	1.049994	0.000000	0.000000	0.000000	2.311729	46.700000	
0.969362	0.969362	0.000000	0.000000	0.000000	2.227705	48.150000	
0.876955	0.876955	0.000000	0.000000	0.000000	2.156064	50.050000	
0.786623	0.786623	0.000000	0.000000	0.000000	2.247063	50.250000	
0.738494	0.738494	0.000000	0.000000	0.000000	2.250013	50.950000	
0.647342	0.647342	0.000000	0.000000	0.000000	2.195577	51.650000	
0.592501	0.592501	0.000000	0.000000	0.000000	2.281391	50.650000	
0.521749	0.521749	0.000000	0.000000	0.000000	2.247359	52.850000	
0.422478	0.422478	0.000000	0.000000	0.000000	2.284752	52.650000	
0.399045	0.399045	0.000000	0.000000	0.000000	2.273708	54.100000	
0.334043	0.334043	0.000000	0.000000	0.000000	2.428653	52.850000	
0.289862	0.289862	0.000000	0.000000	0.000000	2.419127	53.850000	
0.247617	0.247617	0.000000	0.000000	0.000000	2.426418	54.050000	
0.222456	0.222456	0.000000	0.000000	0.000000	2.464814	55.350000	
0.186880	0.186880	0.000000	0.000000	0.000000	2.545982	55.500000	
0.177988	0.177988	0.000000	0.000000	0.000000	2.552234	55.400000	
0.150545	0.150545	0.000000	0.000000	0.000000	2.588211	55.100000	
0.124280	0.124280	0.000000	0.000000	0.000000	2.632551	56.200000	
0.115861	0.115861	0.000000	0.000000	0.000000	2.662972	55.550000	
0.106985	0.106985	0.000000	0.000000	0.000000	2.699907	55.700000	
0.103241	0.103241	0.000000	0.000000	0.000000	2.685351	55.500000	
0.091411	0.091411	0.000000	0.000000	0.000000	2.705103	55.850000	
0.089440	0.089440	0.000000	0.000000	0.000000	2.720977	55.900000	
0.085169	0.085169	0.000000	0.000000	0.000000	2.718253	56.150000	
0.088729	0.088729	0.000000	0.000000	0.000000	2.718536	56.250000	
