Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
2.581555	2.581555	0.000000	0.000000	0.000000	1.819634	49.800000	
1.845451	1.845451	0.000000	0.000000	0.000000	1.576769	55.550000	
1.584433	1.584433	0.000000	0.000000	0.000000	1.499210	58.750000	
1.417969	1.417969	0.000000	0.000000	0.000000	1.377062	61.000000	
1.297212	1.297212	0.000000	0.000000	0.000000	1.326898	61.350000	
1.177759	1.177759	0.000000	0.000000	0.000000	1.257248	63.950000	
1.096437	1.096437	0.000000	0.000000	0.000000	1.255887	64.000000	
1.018160	1.018160	0.000000	0.000000	0.000000	1.247573	65.100000	
0.937684	0.937684	0.000000	0.000000	0.000000	1.279811	64.350000	
0.882761	0.882761	0.000000	0.000000	0.000000	1.327904	64.350000	
0.817866	0.817866	0.000000	0.000000	0.000000	1.191830	66.450000	
0.760302	0.760302	0.000000	0.000000	0.000000	1.237916	66.050000	
0.702897	0.702897	0.000000	0.000000	0.000000	1.227630	67.600000	
0.660896	0.660896	0.000000	0.000000	0.000000	1.281065	67.550000	
0.613217	0.613217	0.000000	0.000000	0.000000	1.242244	66.700000	
0.564518	0.564518	0.000000	0.000000	0.000000	1.247986	67.250000	
0.527386	0.527386	0.000000	0.000000	0.000000	1.240397	67.950000	
0.486312	0.486312	0.000000	0.000000	0.000000	1.273301	68.550000	
0.448360	0.448360	0.000000	0.000000	0.000000	1.281165	68.400000	
0.411328	0.411328	0.000000	0.000000	0.000000	1.284806	68.600000	
0.383342	0.383342	0.000000	0.000000	0.000000	1.307027	68.700000	
0.349359	0.349359	0.000000	0.000000	0.000000	1.335698	68.350000	
0.319312	0.319312	0.000000	0.000000	0.000000	1.426735	67.850000	
0.288775	0.288775	0.000000	0.000000	0.000000	1.383505	68.900000	
0.256896	0.256896	0.000000	0.000000	0.000000	1.454292	68.700000	
0.252001	0.252001	0.000000	0.000000	0.000000	1.368296	69.000000	
0.212017	0.212017	0.000000	0.000000	0.000000	1.417917	69.150000	
0.197615	0.197615	0.000000	0.000000	0.000000	1.518916	69.350000	
0.175718	0.175718	0.000000	0.000000	0.000000	1.560955	68.050000	
0.158849	0.158849	0.000000	0.000000	0.000000	1.516905	69.800000	
0.144177	0.144177	0.000000	0.000000	0.000000	1.564892	70.450000	
0.125512	0.125512	0.000000	0.000000	0.000000	1.564236	69.800000	
0.109886	0.109886	0.000000	0.000000	0.000000	1.624502	69.750000	
0.105291	0.105291	0.000000	0.000000	0.000000	1.582772	70.150000	
0.091312	0.091312	0.000000	0.000000	0.000000	1.670410	70.000000	
0.080060	0.080060	0.000000	0.000000	0.000000	1.720052	70.000000	
0.070245	0.070245	0.000000	0.000000	0.000000	1.688656	70.800000	
0.062448	0.062448	0.000000	0.000000	0.000000	1.732652	71.150000	
0.059457	0.059457	0.000000	0.000000	0.000000	1.761568	70.000000	
0.052376	0.052376	0.000000	0.000000	0.000000	1.765295	70.350000	
0.049824	0.049824	0.000000	0.000000	0.000000	1.824837	70.800000	
0.046508	0.046508	0.000000	0.000000	0.000000	1.809432	70.400000	
0.043774	0.043774	0.000000	0.000000	0.000000	1.856072	70.600000	
0.040505	0.040505	0.000000	0.000000	0.000000	1.856274	71.000000	
0.039792	0.039792	0.000000	0.000000	0.000000	1.873328	71.100000	
0.036780	0.036780	0.000000	0.000000	0.000000	1.861123	70.800000	
0.038586	0.038586	0.000000	0.000000	0.000000	1.862563	70.800000	
0.036808	0.036808	0.000000	0.000000	0.000000	1.869840	70.750000	
0.036932	0.036932	0.000000	0.000000	0.000000	1.871348	70.900000	
0.034404	0.034404	0.000000	0.000000	0.000000	1.870692	70.800000	
